,0,1,2,3
None,0.9559932115447343,-0.3790429748674735,-0.346646715074876,-0.5432727671475568
"(10, [10, 10])",-0.7095964774103638,-0.3496020026506929,-0.8976766765465087,-0.8288194429095213
"(1, [2, 4])",0.8337989697959234,-0.6583688711954268,-0.36281526895908855,-0.7886461928059212
"(7, [5, 10])",-0.4143056547834507,2.2347556743767543,-0.07775310712349215,-1.083183522211943
"(6, [10, 10])",-0.6390884233257403,1.6679667212824514,-0.7411860806165933,-0.8284847523972236
"(10, [3, 6])",0.7519088474026019,-0.8115909079903099,-0.6473752493744287,-0.9254515618198121
"(9, [5, 10])",0.21354726292038784,-0.8263705305157104,-1.4820011610597237,0.03642779580408817
"(2, [3, 4])",-1.1964400607009966,0.04259428197169468,-0.6043743592186532,-1.391732915810933
"(10, [1, 7])",0.19647440926190363,-0.9544645330871168,-0.2009975713734285,-1.337051930014751
"(5, [8, 8])",1.2513138332104532,0.8891050617543508,-0.3796452334636062,-0.19430222902245742
"(9, [1, 5])",1.337064691979708,-1.0673492372963869,-0.5862359988151522,-1.9518904586060835
"(10, [3, 4])",-1.1352864905909377,-1.14857333210928,-1.4642307100951333,-1.5508751469626216
"(8, [3, 8])",0.05518574609258342,-1.3634205935347907,-0.5694885681607464,-1.2484910770230795
"(9, [1, 3])",1.6349792396975427,-0.28146188195964583,-0.705175947048273,-1.9400667733427288
"(5, [2, 8])",-0.07188251212326002,-0.26606092331124265,-0.5736598090820266,1.0238372457080294
"(2, [7, 10])",1.7054724117333622,-0.9331539011307457,-0.8905709581945205,-1.0580065873153774
"(10, [4, 10])",-0.9075039163801805,-0.8043123162676042,-0.6355732531358842,-0.954877302937327
terminal,0.0,0.0,0.0,0.0
"(2, [5, 8])",1.034990843925265,-0.38433837376211455,-1.3529492156621383,-1.7951676664206182
"(1, [10, 10])",0.37637961103919887,0.4582025461924366,-0.26107463704681466,-1.9705968191535594
"(10, [1, 9])",-0.5403057310831262,-0.20690746787515182,-0.7695382172026954,-1.1189111153001114
"(3, [1, 10])",1.5740316712375721,-0.005607418070389308,-0.7448147694761824,0.8474872671798337
"(2, [8, 9])",0.9237859460393358,-1.2343016034375154,-0.028631782935458344,-1.1521971245492981
"(6, [5, 10])",-1.534967939547805,0.6222585278915873,-1.4876447531199477,-1.658020743489385
"(5, [5, 10])",-1.415233535252978,-1.2778790531931778,-0.5181165223753474,-1.0621867968115222
"(1, [8, 10])",0.9457748407231045,-0.027081238256858542,-0.5814166477825939,-0.3948741977615508
"(9, [4, 6])",0.3959311998792048,-0.8036083670277796,-0.5821309910684416,-1.040834704488316
"(5, [10, 10])",0.6967388519641102,-0.15263335828532798,0.21020290923517745,-1.1602379475126452
"(3, [6, 10])",1.734663032406914,-0.2991163867749205,-0.3965555368905031,-1.8392264909756846
"(7, [3, 10])",0.15873304182308134,-0.9563926986925106,-0.674949800204674,-1.639724472877167
"(9, [2, 5])",1.8551086687363765,-1.4480083873067582,-0.8428135179533783,-1.4987449669130695
"(10, [7, 10])",-0.39207706920149826,0.04294126517462371,-0.23444250739823602,-0.3399028040127834
"(7, [1, 7])",1.1234057351400177,-0.8227117633020818,-0.8911257461197668,-1.8565241794163443
"(6, [2, 3])",-0.5520457254905502,0.49181737484208865,-0.450124016148287,-1.8299265843550767
"(8, [10, 10])",-0.4224594643243633,1.6664610422173358,-1.1306021810583546,-0.7114656481196651
"(9, [2, 4])",-0.6989860383282115,0.4823982996719389,-1.189309788255835,-1.3592075837434585
"(1, [5, 8])",1.342913758073474,-0.6986589821470922,0.002342116395389615,-1.224093481772613
"(4, [1, 10])",1.788167844586519,-0.12354430028219343,-0.8233435819589379,-2.3007530976228523
"(8, [3, 9])",0.9682880276012104,-0.09283277468062445,-0.2552157379348881,-1.4193630426992345
"(10, [5, 5])",0.750635014551315,0.5970261734160677,-1.281380289386681,-0.32727947107679944
"(10, [6, 10])",-0.8402646170236442,-0.22385799570877163,-1.3777231047832523,-1.907280619856663
"(1, [9, 10])",1.3927217313115852,-0.2114297427661015,-0.32259894653315957,-0.2242396332702995
"(10, [3, 10])",1.4870119077716621,0.23416498473715197,-0.685904229086588,-0.8239880291053321
"(8, [5, 10])",0.7112017996405382,-1.1937595987851377,-0.5456280729876553,-1.8781339703471676
"(1, [6, 9])",1.9144416679338463,-0.050112960698259545,-0.5404817045217878,-0.3636162052089922
"(10, [5, 6])",-0.7286298214985811,-0.38450502897297484,-0.9726684773147349,-1.0892719237092827
"(4, [9, 10])",-1.2126572638753563,0.43898616563227505,-0.7696688317537502,-2.35186760691591
"(10, [3, 8])",-0.309056152458347,-0.43672810338724055,-1.0402199735934772,1.2012425604534103
"(10, [8, 8])",-1.3364721774029618,0.7777135673116005,-0.6151344915998848,-1.4228060004029806
"(3, [2, 7])",0.37128145235012167,-0.6142993237449417,-0.649956220268014,-1.3707227163008011
"(3, [1, 9])",1.251262375132534,-0.7533936265366206,-0.7191211889234626,-0.4829781716073317
"(6, [2, 4])",-1.2463221261460964,-0.0815002598904605,-1.342012329008904,-1.405890830070184
"(2, [8, 8])",0.2077797616397581,-0.8812498189763964,-0.2789182394352237,-0.33855789175881357
"(4, [4, 7])",0.03220240090592569,-0.5487769980763675,-0.03315822545996927,-0.5864971873322552
"(10, [7, 8])",-0.35077373067841955,-1.0558670519057012,-1.3686921114848394,0.08631089373240153
"(10, [1, 5])",1.7248624725144317,-0.4081739145957197,-0.7714002221350702,0.4210040259483254
"(10, [2, 9])",1.1705447338005746,-0.19229059537780868,-0.12582674439976246,-1.0279822917890882
"(8, [1, 3])",-0.834537350683634,2.191437118857226,-0.5748098827532507,-1.2163101902401072
"(1, [7, 10])",1.3591716883948832,-0.9697509938939579,-2.1151792606297737,-1.158384390823701
"(10, [5, 7])",-0.8299366471618752,-0.8769686833333473,-0.4718054245891667,-0.6305590009675222
"(6, [2, 7])",1.2048215144319965,-0.7566034876497925,-0.38715067412916515,-0.9883174706260254
"(4, [2, 5])",-0.3077201336600132,0.5584040456418049,-0.4383939059905431,0.10537332040313241
"(10, [6, 9])",0.6676353109046523,-0.7472511563742505,-1.0733665177846552,1.2486790686937594
"(8, [2, 6])",1.4138411279369927,0.009837727604016355,-0.24211586280576522,-1.2099153707212686
"(10, [7, 7])",0.27291756313140997,-0.07502228802664401,-0.5085086850252574,-0.6807606820213917
"(9, [3, 10])",1.4704788931210007,-0.46981270316631385,-0.8170675115825484,-1.2195668249461267
"(7, [2, 4])",1.4225493481235527,0.09821444738467744,0.07318629748164485,-2.013820158643819
"(5, [7, 9])",1.270476661322715,-0.08081265283477895,-0.33324747685099043,-0.956594633136753
